category,n_wb_items,n_ozon_items,n_sellers,n_cn_sellers,total_wb_feedback,n_reviews,n_confirmed_field_use,n_tg_mentions,n_tg_channels
field_comfort,999,0,329,77,25564321238,94868,907,1131,12
hygiene_supplies,125,0,66,1,35735076536,57678,143,1070,8
construction_tools,227,0,144,11,2668353840,43696,88,882,7
tactical_wear,1859,0,420,148,2148286492,93131,685,774,9
other,835,41,171,26,976331422,60545,658,461,17
medical,1635,0,493,118,556154206,77171,2112,421,9
power_energy,1974,1,274,135,778385817,20094,227,297,8
comms_ew,1704,1,355,191,119332189,22415,589,196,3
lighting,55,0,28,8,1402980890,12358,17,174,5
anti_drone_gear,133,0,38,12,3102199,784,188,69,3
camo_netting,438,0,107,38,52667460,15446,521,68,2
nutrition_rations,71,0,15,1,3150070238,7620,35,59,8
fpv_drone,4260,0,657,507,454548,4568,174,31,10
body_armor,3548,0,175,50,15484271,16101,442,29,1
night_vision,412,0,200,95,379455,3273,97,25,1
thermal_optics,629,0,203,164,150369,640,15,20,1
combat_helmet,420,0,58,3,9412068,8090,281,3,3
uncertain,142,0,49,28,113657473,11764,1,2,2
drone_drop_system,219,0,102,71,1016247,1492,13,0,0
munitions_component,16,0,4,0,1518287,588,104,0,0
sapper_gear,249,0,121,92,1618487,1860,30,0,0
toy_costume,22,0,14,12,1419414,559,3,0,0
