delivery_source,category,military_class,n_items,n_sellers
ambiguous,body_armor,strict_military,318,8
ambiguous,other,other,241,4
ambiguous,fpv_drone,dual_use_demand,220,9
ambiguous,comms_ew,dual_use_demand,157,9
ambiguous,tactical_wear,strict_military,151,14
ambiguous,fpv_drone,strict_military,117,8
ambiguous,power_energy,dual_use_demand,76,25
ambiguous,tactical_wear,other,73,4
ambiguous,medical,dual_use_demand,72,28
ambiguous,drone_drop_system,strict_military,48,4
ambiguous,field_comfort,dual_use_demand,35,17
ambiguous,tactical_wear,dual_use_demand,32,12
ambiguous,camo_netting,dual_use_demand,29,7
ambiguous,sapper_gear,dual_use_demand,18,4
ambiguous,construction_tools,dual_use_demand,16,10
ambiguous,other,strict_military,16,2
ambiguous,field_comfort,other,13,1
ambiguous,body_armor,other,10,2
ambiguous,night_vision,dual_use_demand,10,10
ambiguous,combat_helmet,strict_military,9,2
ambiguous,construction_tools,other,7,3
ambiguous,thermal_optics,dual_use_demand,5,5
ambiguous,drone_drop_system,dual_use_demand,4,1
ambiguous,munitions_component,strict_military,4,2
ambiguous,hygiene_supplies,other,3,3
ambiguous,thermal_optics,strict_military,3,1
ambiguous,anti_drone_gear,dual_use_demand,2,1
ambiguous,combat_helmet,other,2,1
ambiguous,medical,strict_military,2,2
ambiguous,body_armor,dual_use_demand,1,1
ambiguous,comms_ew,other,1,1
ambiguous,drone_drop_system,other,1,1
ambiguous,nutrition_rations,dual_use_demand,1,1
ambiguous,other,dual_use_demand,1,1
ambiguous,power_energy,other,1,1
ambiguous,toy_costume,other,1,1
ambiguous,uncertain,other,1,1
mixed,tactical_wear,strict_military,5,3
mixed,tactical_wear,dual_use_demand,1,1
seller_warehouse_likely,fpv_drone,strict_military,65,5
seller_warehouse_likely,power_energy,dual_use_demand,37,18
seller_warehouse_likely,fpv_drone,dual_use_demand,31,7
seller_warehouse_likely,comms_ew,dual_use_demand,26,5
seller_warehouse_likely,tactical_wear,dual_use_demand,18,17
seller_warehouse_likely,night_vision,dual_use_demand,10,3
seller_warehouse_likely,medical,dual_use_demand,8,5
seller_warehouse_likely,body_armor,strict_military,5,4
seller_warehouse_likely,construction_tools,dual_use_demand,5,5
seller_warehouse_likely,other,other,4,2
seller_warehouse_likely,tactical_wear,strict_military,4,4
seller_warehouse_likely,camo_netting,dual_use_demand,3,1
seller_warehouse_likely,construction_tools,other,3,1
seller_warehouse_likely,drone_drop_system,strict_military,3,3
seller_warehouse_likely,power_energy,other,3,2
seller_warehouse_likely,thermal_optics,dual_use_demand,2,2
seller_warehouse_likely,anti_drone_gear,strict_military,1,1
seller_warehouse_likely,tactical_wear,other,1,1
unknown,field_comfort,dual_use_demand,144,61
unknown,medical,dual_use_demand,83,60
unknown,power_energy,dual_use_demand,33,24
unknown,hygiene_supplies,other,32,28
unknown,other,other,32,27
unknown,fpv_drone,strict_military,28,17
unknown,comms_ew,dual_use_demand,27,25
unknown,construction_tools,dual_use_demand,26,23
unknown,field_comfort,other,26,22
unknown,fpv_drone,dual_use_demand,25,23
unknown,tactical_wear,strict_military,24,22
unknown,comms_ew,strict_military,20,3
unknown,construction_tools,other,15,13
unknown,tactical_wear,dual_use_demand,14,13
unknown,body_armor,strict_military,13,8
unknown,night_vision,dual_use_demand,8,7
unknown,drone_drop_system,strict_military,7,2
unknown,lighting,other,6,6
unknown,medical,strict_military,6,5
unknown,anti_drone_gear,strict_military,3,2
unknown,combat_helmet,strict_military,3,3
unknown,nutrition_rations,dual_use_demand,3,3
unknown,thermal_optics,dual_use_demand,3,2
unknown,uncertain,other,3,3
unknown,camo_netting,dual_use_demand,2,2
unknown,drone_drop_system,other,2,2
unknown,medical,other,2,2
unknown,tactical_wear,other,2,2
unknown,anti_drone_gear,dual_use_demand,1,1
unknown,camo_netting,other,1,1
unknown,drone_drop_system,dual_use_demand,1,1
unknown,field_comfort,strict_military,1,1
unknown,fpv_drone,other,1,1
unknown,other,dual_use_demand,1,1
unknown,other,strict_military,1,1
unknown,sapper_gear,dual_use_demand,1,1
unknown,thermal_optics,other,1,1
wb_network,body_armor,strict_military,3138,161
wb_network,fpv_drone,dual_use_demand,2400,456
wb_network,power_energy,dual_use_demand,1445,211
wb_network,fpv_drone,strict_military,1352,310
wb_network,medical,dual_use_demand,1280,409
wb_network,comms_ew,dual_use_demand,1197,312
wb_network,tactical_wear,strict_military,943,237
wb_network,field_comfort,dual_use_demand,657,227
wb_network,combat_helmet,strict_military,403,51
wb_network,camo_netting,dual_use_demand,393,99
wb_network,power_energy,other,379,72
wb_network,night_vision,dual_use_demand,378,187
wb_network,other,other,347,87
wb_network,tactical_wear,dual_use_demand,325,96
wb_network,thermal_optics,strict_military,323,35
wb_network,thermal_optics,dual_use_demand,281,168
wb_network,tactical_wear,other,266,56
wb_network,comms_ew,strict_military,233,22
wb_network,sapper_gear,dual_use_demand,230,116
wb_network,medical,strict_military,177,36
wb_network,other,dual_use_demand,148,39
wb_network,uncertain,other,138,47
wb_network,construction_tools,dual_use_demand,136,84
wb_network,drone_drop_system,strict_military,120,71
wb_network,field_comfort,other,109,40
wb_network,hygiene_supplies,other,90,38
wb_network,anti_drone_gear,dual_use_demand,72,11
wb_network,nutrition_rations,dual_use_demand,67,11
wb_network,body_armor,other,56,12
wb_network,lighting,other,46,22
wb_network,anti_drone_gear,strict_military,45,21
wb_network,other,strict_military,44,11
wb_network,comms_ew,other,43,22
wb_network,fpv_drone,other,21,16
wb_network,toy_costume,other,21,14
wb_network,construction_tools,other,19,14
wb_network,drone_drop_system,other,19,13
wb_network,drone_drop_system,dual_use_demand,14,14
wb_network,field_comfort,strict_military,14,2
wb_network,munitions_component,strict_military,12,3
wb_network,thermal_optics,other,11,6
wb_network,camo_netting,other,10,3
wb_network,anti_drone_gear,other,9,3
wb_network,body_armor,dual_use_demand,7,1
wb_network,medical,other,5,3
wb_network,night_vision,strict_military,5,2
wb_network,combat_helmet,other,3,3
wb_network,lighting,dual_use_demand,3,2
wb_network,night_vision,other,1,1
