military_class,military_reason,category,n_items
dual_use_demand,fpv_component,fpv_drone,2656
dual_use_demand,power,power_energy,1591
dual_use_demand,medical,medical,1443
dual_use_demand,comms,comms_ew,1282
dual_use_demand,cold_weather,field_comfort,832
dual_use_demand,camo_shelter,camo_netting,427
dual_use_demand,night_vision,night_vision,406
dual_use_demand,boots,tactical_wear,318
dual_use_demand,thermal_spotting,thermal_optics,291
dual_use_demand,sapper_gear,sapper_gear,249
dual_use_demand,field_construction,construction_tools,162
dual_use_demand,power,other,142
dual_use_demand,military_phone,comms_ew,123
dual_use_demand,nutrition,nutrition_rations,71
dual_use_demand,thermal_spotting,anti_drone_gear,39
dual_use_demand,anti_drone_cloth,anti_drone_gear,36
dual_use_demand,lighting_tools,tactical_wear,30
dual_use_demand,military_uniform,tactical_wear,26
dual_use_demand,fpv_component,drone_drop_system,19
dual_use_demand,medical,tactical_wear,15
dual_use_demand,power,construction_tools,12
dual_use_demand,power,fpv_drone,8
dual_use_demand,night_vision,fpv_drone,7
dual_use_demand,thermal_spotting,body_armor,7
dual_use_demand,camo_shelter,construction_tools,5
dual_use_demand,cold_weather,other,5
dual_use_demand,military_uniform,field_comfort,4
dual_use_demand,sapper_gear,construction_tools,4
dual_use_demand,comms,fpv_drone,3
dual_use_demand,lighting_tools,lighting,3
dual_use_demand,power,comms_ew,2
dual_use_demand,fpv_component,other,1
dual_use_demand,fpv_drone_combat,fpv_drone,1
dual_use_demand,lighting_tools,other,1
dual_use_demand,medical,other,1
dual_use_demand,military_uniform,body_armor,1
dual_use_demand,shelter_cape,tactical_wear,1
dual_use_demand,thermal_spotting,fpv_drone,1
strict_military,armor_plate,body_armor,3199
strict_military,fpv_drone_combat,fpv_drone,1388
strict_military,military_uniform,tactical_wear,983
strict_military,combat_helmet,combat_helmet,415
strict_military,weapon_optics,thermal_optics,326
strict_military,military_uniform,body_armor,240
strict_military,field_telephone_wire,comms_ew,211
strict_military,military_uniform,medical,183
strict_military,drone_munitions,drone_drop_system,153
strict_military,magazine_pouch,tactical_wear,144
strict_military,fiber_optic_fpv,fpv_drone,107
strict_military,drone_detector,fpv_drone,59
strict_military,armor_plate,other,50
strict_military,drone_detector_accessory,anti_drone_gear,37
strict_military,weapon_optics,body_armor,35
strict_military,ew_counter_drone,comms_ew,31
strict_military,grenade_component,munitions_component,16
strict_military,military_uniform,field_comfort,15
strict_military,magazine_pouch,drone_drop_system,12
strict_military,drone_detector,anti_drone_gear,11
strict_military,military_uniform,comms_ew,11
strict_military,armor_plate,drone_drop_system,8
strict_military,grenadier_gear,other,6
strict_military,drone_detector_accessory,fpv_drone,5
strict_military,military_uniform,drone_drop_system,5
strict_military,weapon_optics,night_vision,5
strict_military,weapon_optics,other,3
strict_military,drone_munitions,fpv_drone,2
strict_military,armor_plate,medical,1
strict_military,ew_counter_drone,anti_drone_gear,1
strict_military,ew_counter_drone,other,1
strict_military,magazine_pouch,medical,1
strict_military,magazine_pouch,other,1
strict_military,weapon_attachment,fpv_drone,1
