month,category,mentions
2022-07,construction_tools,1
2022-11,medical,2
2023-03,comms_ew,7
2023-03,construction_tools,4
2023-03,field_comfort,3
2023-03,hygiene_supplies,1
2023-03,medical,3
2023-03,other,1
2023-03,tactical_wear,12
2023-03,thermal_optics,1
2023-04,comms_ew,4
2023-04,construction_tools,4
2023-04,field_comfort,8
2023-04,hygiene_supplies,8
2023-04,lighting,4
2023-04,nutrition_rations,4
2023-04,other,4
2023-04,power_energy,4
2023-04,tactical_wear,8
2023-05,body_armor,2
2023-05,comms_ew,10
2023-05,construction_tools,3
2023-05,field_comfort,11
2023-05,fpv_drone,2
2023-05,hygiene_supplies,10
2023-05,lighting,6
2023-05,night_vision,2
2023-05,other,4
2023-05,power_energy,10
2023-05,tactical_wear,9
2023-06,body_armor,1
2023-06,comms_ew,9
2023-06,construction_tools,11
2023-06,field_comfort,14
2023-06,fpv_drone,1
2023-06,hygiene_supplies,14
2023-06,lighting,9
2023-06,night_vision,9
2023-06,other,2
2023-06,power_energy,1
2023-06,tactical_wear,2
2023-07,construction_tools,9
2023-07,field_comfort,9
2023-07,hygiene_supplies,9
2023-07,other,9
2023-07,tactical_wear,9
2023-08,camo_netting,7
2023-08,construction_tools,8
2023-08,field_comfort,2
2023-08,hygiene_supplies,2
2023-08,other,4
2023-08,tactical_wear,1
2023-09,body_armor,6
2023-09,camo_netting,17
2023-09,comms_ew,17
2023-09,construction_tools,19
2023-09,field_comfort,5
2023-09,hygiene_supplies,4
2023-09,lighting,5
2023-09,nutrition_rations,1
2023-09,other,10
2023-09,tactical_wear,28
2023-09,thermal_optics,5
2023-10,body_armor,20
2023-10,field_comfort,5
2023-10,hygiene_supplies,5
2023-10,lighting,14
2023-10,medical,3
2023-10,other,19
2023-10,tactical_wear,34
2023-10,thermal_optics,14
2023-11,construction_tools,2
2023-11,field_comfort,16
2023-11,hygiene_supplies,8
2023-11,medical,3
2023-11,night_vision,3
2023-11,nutrition_rations,8
2023-11,other,8
2023-11,tactical_wear,8
2023-12,construction_tools,5
2023-12,field_comfort,24
2023-12,hygiene_supplies,7
2023-12,nutrition_rations,2
2023-12,other,22
2023-12,tactical_wear,2
