supplier_id,seller,inn,entity_type,director_name,director_role,founders,ogrn,founding_date,address,phones,email,source_url
114996,23 ВЕК ООО,5904385650,legal_entity_ru,Сараев Виталий Леонидович,Директор,[],1205900027112,05.11.2020,"край Пермский, г. Пермь, ул. Серпуховская, д. 7, кв. 20",[],,https://companies.rbc.ru/id/1205900027112-obschestvo-s-ogranichennoj-otvetstvennostyu-23-vek/
250103263,80040,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
1416811,AVTO-RITET,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
1070263,Aiziya_shop,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
3926442,Auto-Graff,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
250088048,Cosmo Digital,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
1156670,E-market,6731070727,legal_entity_ru,Максимов Евгений Анатольевич,Директор,[],1086731010387,25.07.2008,"обл. Смоленская, г. Смоленск, ул. Крупской, д. 52/2",[],,https://companies.rbc.ru/id/1086731010387-ooo-elektrokomplekt/
250090023,"FlashFish Technology Co.,Ltd.",,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
4118237,FlatRent,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
250136329,Forfish,,unknown,Шитов Дмитрий Александрович,Генеральный Директор,"[{""name"": ""Общество с ограниченной ответственностью Группа Компаний «Сладкая Жизнь»"", ""inn"": ""5260487561""}]",1055233034845,07.02.2005,"обл. Нижегородская, г. Нижний Новгород, ул. Героя Попова, д. 43в, офис 4",[],,https://companies.rbc.ru/id/1055233034845-gk-sladkaya-zhizn/
