nm_id,name,category,military_class,wb_policy_clause,wb_policy_reason,seller,entity_type,origin,url
139304441,"Цифровая рация MD-UV390 GPS, AES-256, 10 Ватт, IP-67",comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Фетищев К. А.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/139304441/detail.aspx
172152060,Рация Тит MD-619 DMR 10 Вт с шифрованием AES 256 бит,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",Радаев Александр Сергеевич,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/172152060/detail.aspx
173842115,Рация автомобильная цифровая MD-9600 AES-256 50W UHF VHF,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Роженцов Н. Н.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/173842115/detail.aspx
185955035,Рация MD-619 UHF DMR AES 256 IP54 Type-C 10 Вт,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Скоков Владимир Борисович,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/185955035/detail.aspx
185955107,Рация MD-UV390 DMR AES 256 IP67 Type-C 10 Вт,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Скоков Владимир Борисович,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/185955107/detail.aspx
218902412,Рация цифровая ТУТ MD-UV390 10W 3600 mah с AES256,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Курнавин А. А.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/218902412/detail.aspx
226225666,Рация TYT MD-390 AES256 10W 1 комплект,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Нургалеев И. Р.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/226225666/detail.aspx
226225667,Портативная рация TYT MD-390 DMR AES256 10W 2 комплекта,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Нургалеев И. Р.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/226225667/detail.aspx
229527451,Рация MD-UV390 DMR AES 256 IP67 Type-C 10 Вт,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Скокова Ольга Викторовна,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/229527451/detail.aspx
236392134,Рация автомобильная цифровая MD-9600 AES-256 50W UHF VHF,comms_ew,dual_use_demand,16_crypto_equipment,"Устройства для негласного получения информации, а также шифровальная техника",ИП Рябцев С. В.,sole_proprietor_ru,domestic_ru,https://www.wildberries.ru/catalog/236392134/detail.aspx
